author_id,retweet_count,reply_count,like_count,followers_count,num_tweets
1580054484,0,1,1,0.0,0.0
15977038,0,0,0,0.0,0.0
16037334,0,0,0,0.0,0.0
1608533210,2,1,4,0.0,0.0
161071669,27,2,44,0.0,40.0
16274243,1,0,2,0.0,0.0
1628544229,0,0,1,0.0,0.0
1630959944,2,0,0,0.0,0.0
163243464,1,1,1,0.0,0.0
165849173,1,0,2,0.0,0.0
16685175,0,0,0,0.0,0.0
17042246,0,0,2,0.0,0.0
171932313,0,0,0,0.0,0.0
17243645,0,0,0,0.0,0.0
173190106,0,0,0,0.0,0.0
173715519,1,0,2,0.0,5.0
174365411,0,0,0,0.0,0.0
17676193,1,1,1,0.0,0.0
17755042,2,0,7,0.0,0.0
17881672,10,7,31,0.0,0.0
17988830,0,0,0,0.0,0.0
186028018,3,2,7,0.0,0.0
18736601,1,0,2,0.0,0.0
18802551,92,6,90,0.0,0.0
18858395,1,0,0,0.0,0.0
1894265496,0,0,0,0.0,0.0
19078105,0,0,3,0.0,0.0
19081465,5,1,13,0.0,0.0
1912522274,0,0,0,0.0,0.0
193606262,13,0,19,0.0,0.0
19538668,0,0,0,0.0,0.0
196601199,34,9,43,0.0,0.0
200216066,0,0,1,0.0,14.0
20027069,0,0,2,0.0,0.0
20205171,2,0,3,0.0,0.0
203708235,7,0,1,0.0,29.0
20387675,1,0,1,0.0,4.0
204112162,2,0,0,0.0,0.0
20668629,8,0,13,0.0,0.0
20922525,0,0,1,0.0,192.0
209396725,1,4,3,0.0,0.0
20949877,3,0,5,0.0,0.0
210383376,0,1,0,0.0,0.0
21105205,0,0,1,0.0,0.0
211662918,1,12,2,0.0,0.0
21680551,1,0,1,0.0,0.0
2178242827,21,0,23,0.0,0.0
2186806183,0,2,0,0.0,0.0
2203102299,8,1,7,0.0,0.0
2205785436,9,0,8,0.0,7.0
2207129125,90,0,37,0.0,0.0
2213166451,0,0,0,0.0,0.0
2224170056,0,0,0,0.0,0.0
226340380,1,0,1,0.0,0.0
22680719,6,0,8,0.0,0.0
2270186526,4,0,8,0.0,0.0
2281314234,2,0,1,0.0,0.0
2286582692,0,0,0,0.0,0.0
22868434,0,0,4,0.0,0.0
2288889440,19,2,14,0.0,0.0
2298597516,3,0,1,0.0,0.0
229921321,0,0,0,0.0,0.0
2301564007,0,0,0,0.0,0.0
2302866931,3,0,2,0.0,0.0
2303168790,1,0,0,0.0,68.0
2312333412,21,11,56,0.0,0.0
2312746675,0,0,0,0.0,8.0
2316553800,3,0,3,0.0,0.0
2319848474,0,1,0,0.0,0.0
2331707000,0,0,0,0.0,0.0
2335558758,0,0,0,0.0,0.0
2338608973,0,1,0,0.0,0.0
2339205560,0,0,0,0.0,0.0
2346643524,1,0,3,0.0,0.0
2347049569,1,0,0,0.0,0.0
2350277942,27,0,39,0.0,0.0
2355243272,0,0,0,0.0,0.0
2355374790,2,0,1,0.0,0.0
2355499280,0,0,0,0.0,0.0
2362854624,6,2,11,0.0,15.0
2362864898,3,1,1,0.0,0.0
2363487434,0,0,0,0.0,0.0
2366942234,0,0,0,0.0,13.0
2396374531,0,0,0,0.0,93.0
2400055351,11,0,9,0.0,6.0
2403097154,1,1,1,0.0,118.0
2405617058,0,0,0,0.0,0.0
2406827466,7,0,7,0.0,14.0
2407378034,0,0,0,0.0,0.0
2410853456,2,0,0,0.0,16.0
241969202,0,0,0,0.0,0.0
2421317989,28,9,47,0.0,0.0
2428583935,0,0,0,0.0,57.0
2433337028,0,0,0,0.0,0.0
2434765933,0,0,0,0.0,0.0
2435734063,1,3,3,0.0,0.0
24392227,3,0,2,0.0,0.0
2450414006,0,0,1,0.0,0.0
2453609114,1,0,3,0.0,0.0
2457523846,0,0,2,0.0,0.0
2469446510,2,0,0,0.0,0.0
249353797,1,0,1,0.0,0.0
252895560,3,0,0,0.0,0.0
253007792,0,0,1,0.0,0.0
2530305500,2,0,6,0.0,60.0
253293158,2,0,1,0.0,0.0
2553844903,0,0,0,0.0,204.0
2558427012,0,0,2,0.0,0.0
2562923532,37,0,26,0.0,0.0
2568375402,0,0,0,0.0,0.0
2570060081,3,2,1,0.0,0.0
2575966722,0,0,0,0.0,0.0
2576242316,3,0,2,0.0,0.0
257853997,2,1,1,0.0,0.0
258480276,0,0,0,0.0,4.0
2587389170,1,0,2,0.0,0.0
2588080789,0,0,0,0.0,0.0
2591432078,0,0,0,0.0,0.0
2601010669,0,0,1,0.0,68.0
26302127,0,0,0,0.0,0.0
2645996468,2,1,0,0.0,0.0
266636404,0,0,1,0.0,0.0
266733278,0,0,0,0.0,0.0
267034735,6,2,17,0.0,160.0
26726190,0,0,0,0.0,0.0
2678597372,0,0,2,0.0,0.0
26861418,6,0,6,0.0,54.0
